INSTANCE 	 PRIMAL 	 DUAL 	 BEST VALUE
pb_500rnd0300.dat	730.00000	1252.81476		776.00000	
pb_500rnd0300.dat	716.00000	1230.22282		 BETTER (-8.59194)
pb_500rnd0900.dat	2236.00000	2260.85417		2236.00000	
pb_500rnd0900.dat	2227.00000	2261.96781		 WORST (10.11365)
pb_200rnd1300.dat	554.00000	688.98324		571.00000	
pb_200rnd1300.dat	561.00000	683.82294		 BETTER (-12.16030)
pb_200rnd0400.dat	60.00000	100.00000		64.00000	
pb_200rnd0400.dat	59.00000	99.99900		 WORST (0.99900)
pb_500rnd0500.dat	118.00000	398.29104		122.00000	
pb_500rnd0500.dat	118.00000	394.85984		 BETTER (-3.43120)
pb_100rnd1200.dat	23.00000	29.81275		23.00000	
pb_100rnd1200.dat	23.00000	29.42411		 BETTER (-0.38864)
pb_200rnd0900.dat	1315.00000	1328.05907		1324.00000	
pb_200rnd0900.dat	1315.00000	1328.12898		 WORST (0.06990)
pb_200rnd1700.dat	242.00000	365.23577		255.00000	
pb_200rnd1700.dat	255.00000	361.03318		 BETTER (-17.20259)
pb_200rnd1500.dat	904.00000	1029.23465		926.00000	
pb_200rnd1500.dat	904.00000	1025.05592		 BETTER (-4.17873)
pb_500rnd1100.dat	405.00000	556.44932		424.00000	
pb_500rnd1100.dat	411.00000	559.68517		 BETTER (-2.76415)
pb_500rnd1000.dat	179.00000	183.21680		179.00000	
pb_500rnd1000.dat	178.00000	183.69268		 WORST (1.47587)
pb_100rnd0700.dat	500.00000	504.76851		503.00000	
pb_100rnd0700.dat	503.00000	505.01557		 BETTER (-2.75295)
pb_100rnd0600.dat	64.00000	64.52144		64.00000	
pb_100rnd0600.dat	64.00000	64.46728		 BETTER (-0.05416)
pb_200rnd0300.dat	682.00000	1027.00000		731.00000	
pb_200rnd0300.dat	701.00000	1026.99888		 BETTER (-19.00112)
pb_1000rnd0500.dat	208.00000	442.70616		222.00000	
pb_1000rnd0500.dat	207.00000	450.45792		 WORST (8.75176)
pb_200rnd1200.dat	43.00000	45.61981		43.00000	
pb_200rnd1200.dat	43.00000	45.70728		 WORST (0.08747)
pb_500rnd0100.dat	297.00000	714.98974		323.00000	
pb_500rnd0100.dat	303.00000	706.02816		 BETTER (-14.96158)
pb_1000rnd0800.dat	169.00000	187.26624		175.00000	
pb_1000rnd0800.dat	168.00000	188.48213		 WORST (2.21589)
pb_100rnd1100.dat	306.00000	351.01157		306.00000	
pb_100rnd1100.dat	306.00000	353.90776		 WORST (2.89620)
pb_500rnd0800.dat	87.00000	95.76792		89.00000	
pb_500rnd0800.dat	86.00000	96.05562		 WORST (1.28770)
pb_500rnd0200.dat	22.00000	57.27904		25.00000	
pb_500rnd0200.dat	21.00000	57.78985		 WORST (1.51081)
pb_100rnd0400.dat	15.00000	26.85727		16.00000	
pb_100rnd0400.dat	15.00000	26.50282		 BETTER (-0.35445)
pb_200rnd1100.dat	536.00000	565.88818		545.00000	
