*** pb_100rnd0300.dat ****
VALUE KNAP: 594.00
VALUE MINKNAP: 594.00
VALUE KNAP: 470.94
VALUE MINKNAP: 470.94
VALUE KNAP: 480.18
VALUE MINKNAP: 480.18
VALUE KNAP: 427.97
VALUE MINKNAP: 427.97
VALUE KNAP: 421.30
VALUE MINKNAP: 421.30
VALUE KNAP: 394.93
VALUE MINKNAP: 394.93
VALUE KNAP: 384.66
VALUE MINKNAP: 384.66
VALUE KNAP: 344.36
VALUE MINKNAP: 344.36
VALUE KNAP: 323.43
VALUE MINKNAP: 323.43
VALUE KNAP: 312.20
VALUE MINKNAP: 312.20
VALUE KNAP: 308.40
VALUE MINKNAP: 308.40
VALUE KNAP: 311.64
VALUE MINKNAP: 311.64
VALUE KNAP: 301.06
VALUE MINKNAP: 301.06
VALUE KNAP: 289.99
VALUE MINKNAP: 289.99
VALUE KNAP: 288.44
VALUE MINKNAP: 288.44
VALUE KNAP: 282.83
VALUE MINKNAP: 282.83
VALUE KNAP: 286.83
VALUE MINKNAP: 286.83
VALUE KNAP: 284.38
VALUE MINKNAP: 284.38
VALUE KNAP: 284.79
VALUE MINKNAP: 284.79
VALUE KNAP: 283.33
VALUE MINKNAP: 283.33
VALUE KNAP: 279.21
VALUE MINKNAP: 279.21
VALUE KNAP: 276.44
VALUE MINKNAP: 276.44
VALUE KNAP: 276.12
VALUE MINKNAP: 276.12
VALUE KNAP: 274.27
VALUE MINKNAP: 274.27
VALUE KNAP: 275.40
VALUE MINKNAP: 275.40
VALUE KNAP: 274.20
VALUE MINKNAP: 274.20
VALUE KNAP: 272.60
VALUE MINKNAP: 272.60
VALUE KNAP: 271.93
VALUE MINKNAP: 271.93
VALUE KNAP: 271.64
VALUE MINKNAP: 271.65
VALUE KNAP: 271.95
VALUE MINKNAP: 271.95
VALUE KNAP: 271.30
VALUE MINKNAP: 271.30
VALUE KNAP: 271.33
VALUE MINKNAP: 271.33
VALUE KNAP: 271.04
VALUE MINKNAP: 271.04
VALUE KNAP: 270.12
VALUE MINKNAP: 270.12
VALUE KNAP: 270.10
VALUE MINKNAP: 270.10
VALUE KNAP: 269.99
VALUE MINKNAP: 269.99
VALUE KNAP: 269.80
VALUE MINKNAP: 269.80
VALUE KNAP: 269.80
VALUE MINKNAP: 269.80
VALUE KNAP: 269.40
VALUE MINKNAP: 269.40
VALUE KNAP: 269.25
VALUE MINKNAP: 269.25
VALUE KNAP: 269.26
VALUE MINKNAP: 269.26
VALUE KNAP: 269.12
VALUE MINKNAP: 269.12
VALUE KNAP: 269.06
VALUE MINKNAP: 269.06
VALUE KNAP: 269.13
VALUE MINKNAP: 269.13
VALUE KNAP: 269.13
VALUE MINKNAP: 269.13
VALUE KNAP: 269.09
VALUE MINKNAP: 269.09
VALUE KNAP: 268.80
VALUE MINKNAP: 268.80
VALUE KNAP: 268.71
VALUE MINKNAP: 268.71
VALUE KNAP: 268.78
VALUE MINKNAP: 268.78
VALUE KNAP: 268.69
VALUE MINKNAP: 268.69
VALUE KNAP: 268.69
VALUE MINKNAP: 268.69
VALUE KNAP: 268.68
VALUE MINKNAP: 268.68
VALUE KNAP: 268.68
VALUE MINKNAP: 268.68
VALUE KNAP: 268.69
VALUE MINKNAP: 268.69
VALUE KNAP: 268.65
VALUE MINKNAP: 268.65
VALUE KNAP: 268.52
VALUE MINKNAP: 268.52
VALUE KNAP: 268.49
VALUE MINKNAP: 268.49
VALUE KNAP: 268.47
VALUE MINKNAP: 268.47
VALUE KNAP: 268.50
VALUE MINKNAP: 268.50
VALUE KNAP: 268.47
VALUE MINKNAP: 268.47
VALUE KNAP: 268.47
VALUE MINKNAP: 268.47
VALUE KNAP: 268.40
VALUE MINKNAP: 268.40
VALUE KNAP: 268.40
VALUE MINKNAP: 268.40
VALUE KNAP: 268.39
VALUE MINKNAP: 268.39
VALUE KNAP: 268.37
VALUE MINKNAP: 268.37
VALUE KNAP: 268.39
VALUE MINKNAP: 268.39
VALUE KNAP: 268.36
VALUE MINKNAP: 268.36
VALUE KNAP: 268.34
VALUE MINKNAP: 268.34
VALUE KNAP: 268.33
VALUE MINKNAP: 268.33
VALUE KNAP: 268.32
VALUE MINKNAP: 268.32
VALUE KNAP: 268.34
VALUE MINKNAP: 268.34
VALUE KNAP: 268.32
VALUE MINKNAP: 268.32
VALUE KNAP: 268.33
VALUE MINKNAP: 268.33
VALUE KNAP: 268.32
VALUE MINKNAP: 268.32
VALUE KNAP: 268.30
VALUE MINKNAP: 268.30
VALUE KNAP: 268.30
VALUE MINKNAP: 268.30
VALUE KNAP: 268.30
VALUE MINKNAP: 268.30
VALUE KNAP: 268.30
VALUE MINKNAP: 268.30
VALUE KNAP: 268.30
VALUE MINKNAP: 268.29
VALUE KNAP: 268.30
VALUE MINKNAP: 268.30
VALUE KNAP: 268.30
VALUE MINKNAP: 268.30
VALUE KNAP: 268.29
VALUE MINKNAP: 268.29
VALUE KNAP: 268.29
VALUE MINKNAP: 268.29
VALUE KNAP: 268.29
VALUE MINKNAP: 268.29
VALUE KNAP: 268.28
VALUE MINKNAP: 268.28
VALUE KNAP: 268.29
VALUE MINKNAP: 268.29
VALUE KNAP: 268.28
VALUE MINKNAP: 268.28
VALUE KNAP: 268.29
VALUE MINKNAP: 268.29
VALUE KNAP: 268.28
VALUE MINKNAP: 268.28
VALUE KNAP: 268.28
VALUE MINKNAP: 268.28
VALUE KNAP: 268.28
VALUE MINKNAP: 268.28
VALUE KNAP: 268.28
VALUE MINKNAP: 268.28
VALUE KNAP: 268.28
VALUE MINKNAP: 268.28
VALUE KNAP: 268.28
VALUE MINKNAP: 268.28
VALUE KNAP: 268.28
VALUE MINKNAP: 268.28
VALUE KNAP: 268.28
VALUE MINKNAP: 268.28
VALUE KNAP: 268.28
VALUE MINKNAP: 268.28
VALUE KNAP: 268.28
VALUE MINKNAP: 268.28
VALUE KNAP: 268.28
VALUE MINKNAP: 268.28
VALUE KNAP: 268.28
VALUE MINKNAP: 268.28
VALUE KNAP: 268.28
VALUE MINKNAP: 268.28
VALUE KNAP: 268.28
VALUE MINKNAP: 268.28
VALUE KNAP: 268.28
VALUE MINKNAP: 268.28
VALUE KNAP: 268.27
VALUE MINKNAP: 268.27
VALUE KNAP: 268.27
VALUE MINKNAP: 268.27
VALUE KNAP: 268.28
VALUE MINKNAP: 268.28
VALUE KNAP: 268.27
VALUE MINKNAP: 268.27
VALUE KNAP: 268.27
VALUE MINKNAP: 268.27
VALUE KNAP: 268.27
VALUE MINKNAP: 268.27
VALUE KNAP: 268.28
VALUE MINKNAP: 268.27
VALUE KNAP: 268.27
VALUE MINKNAP: 268.27
VALUE KNAP: 268.27
VALUE MINKNAP: 268.27
VALUE KNAP: 268.27
VALUE MINKNAP: 268.27
VALUE KNAP: 268.27
VALUE MINKNAP: 268.27
VALUE KNAP: 268.27
VALUE MINKNAP: 268.27
VALUE KNAP: 268.27
VALUE MINKNAP: 268.27
VALUE KNAP: 268.27
VALUE MINKNAP: 268.27
VALUE KNAP: 268.27
VALUE MINKNAP: 268.27
VALUE KNAP: 268.27
VALUE MINKNAP: 268.27
VALUE KNAP: 268.27
VALUE MINKNAP: 268.27
VALUE KNAP: 268.27
VALUE MINKNAP: 268.27
VALUE KNAP: 268.27
VALUE MINKNAP: 268.27
VALUE KNAP: 268.27
VALUE MINKNAP: 268.27
VALUE KNAP: 268.27
VALUE MINKNAP: 268.27
VALUE KNAP: 268.27
VALUE MINKNAP: 268.27
VALUE KNAP: 268.27
VALUE MINKNAP: 268.27
VALUE KNAP: 268.27
VALUE MINKNAP: 268.27
VALUE KNAP: 268.27
VALUE MINKNAP: 268.27
VALUE KNAP: 268.27
VALUE MINKNAP: 268.27
