INSTANCE 	 PRIMAL 	 DUAL 	 BEST VALUE
pb_500rnd0300.dat	721.00000	1304.61057		776.00000	
pb_500rnd0300.dat	742.00000	1280.80261		 BETTER (-44.80797)
pb_500rnd0900.dat	2225.00000	2301.66877		2236.00000	
pb_500rnd0900.dat	2216.00000	2294.83753		 WORST (2.16876)
pb_200rnd1300.dat	543.00000	712.85424		571.00000	
pb_200rnd1300.dat	549.00000	704.24197		 BETTER (-14.61227)
pb_200rnd0400.dat	59.00000	100.00000		64.00000	
pb_200rnd0400.dat	60.00000	100.06585		 BETTER (-0.93415)
pb_500rnd0500.dat	122.00000	441.77597		122.00000	
pb_500rnd0500.dat	122.00000	421.95358		 BETTER (-19.82239)
pb_100rnd1200.dat	23.00000	30.93787		23.00000	
pb_100rnd1200.dat	23.00000	30.46310		 BETTER (-0.47476)
pb_200rnd0900.dat	1320.00000	1332.71320		1324.00000	
pb_200rnd0900.dat	1315.00000	1327.53197		 BETTER (-0.18123)
pb_200rnd1700.dat	242.00000	383.51273		255.00000	
pb_200rnd1700.dat	236.00000	379.10215		 WORST (1.58942)
pb_200rnd1500.dat	911.00000	1042.90759		926.00000	
pb_200rnd1500.dat	914.00000	1038.45336		 BETTER (-7.45423)
pb_500rnd1100.dat	399.00000	584.11968		424.00000	
pb_500rnd1100.dat	397.00000	577.73546		 BETTER (-4.38422)
pb_500rnd1000.dat	178.00000	186.59816		179.00000	
pb_500rnd1000.dat	177.00000	186.24346		 WORST (0.64530)
pb_100rnd0700.dat	500.00000	506.72635		503.00000	
pb_100rnd0700.dat	503.00000	505.36862		 BETTER (-4.35773)
pb_100rnd0600.dat	64.00000	64.61701		64.00000	
pb_100rnd0600.dat	64.00000	64.63992		 WORST (0.02291)
pb_200rnd0300.dat	691.00000	1027.00000		731.00000	
pb_200rnd0300.dat	682.00000	1026.99101		 WORST (8.99101)
pb_1000rnd0500.dat	197.00000	487.58609		222.00000	
pb_1000rnd0500.dat	203.00000	465.98400		 BETTER (-27.60209)
pb_200rnd1200.dat	42.00000	46.26727		43.00000	
pb_200rnd1200.dat	43.00000	46.59022		 BETTER (-0.67705)
pb_500rnd0100.dat	298.00000	770.58682		323.00000	
pb_500rnd0100.dat	299.00000	743.14305		 BETTER (-28.44376)
pb_1000rnd0800.dat	167.00000	192.82241		175.00000	
pb_1000rnd0800.dat	168.00000	192.76728		 BETTER (-1.05514)
pb_100rnd1100.dat	306.00000	372.38511		306.00000	
pb_100rnd1100.dat	306.00000	365.67513		 BETTER (-6.70997)
pb_500rnd0800.dat	87.00000	98.30960		89.00000	
pb_500rnd0800.dat	86.00000	98.19727		 WORST (0.88766)
pb_500rnd0200.dat	23.00000	62.23709		25.00000	
pb_500rnd0200.dat	22.00000	60.56860		 BETTER (-0.66849)
pb_100rnd0400.dat	15.00000	27.94335		16.00000	
pb_100rnd0400.dat	15.00000	27.40919		 BETTER (-0.53416)
pb_200rnd1100.dat	537.00000	581.79118		545.00000	
pb_200rnd1100.dat	538.00000	581.69605		 BETTER (-1.09514)
pb_500rnd1800.dat	12.00000	35.32828		13.00000	
